repo	literal_tree_sitter_matches	api_evidence_matches	grammar_asset_paths	scm_paths	tags_scm_paths	feature_file_count	indexing_feature_files	testing_feature_files	cgc_runs	cgc_complete_runs	cgc_error_or_incomplete_runs
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/0sec-labs__foxguard	467	1763	0	0	0	15	0	1	1	0	1
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/1broseidon__cymbal	379	0	2	0	0	6	0	0	1	0	1
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/71__vscode-tree-sitter-api	108	1	0	0	0	2	0	0	1	1	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/AB498__code-context-provider-mcp	36	1	0	0	0	2	1	0	6	5	1
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/AKrichevski__Lodebrook	48	88	0	0	0	5	0	1	1	0	1
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/Aaron-212__tree-sitter-mojo	187	5	3	0	0	8	0	0	1	0	1
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/AbstractMachinesLab__tree-sitter-erlang	55	4	2	0	0	5	0	0	1	0	1
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/AbstractMachinesLab__tree-sitter-sexp	39	1	2	0	0	5	0	0	1	1	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/Aerijo__tree-sitter-biber	26	0	2	0	0	4	0	0	1	1	0
/Users/amuldotexe/Desktop/personal-repos-lane/parseltongue-rust-LLM-companion/git-ref-repo/ignore-this-folder-repos/Aider-AI__aider	311	85	0	0	0	64	0	1	3	0	3
