filepath,line_count,topic,summary,utility
archived-docs/ACTIVE-Reference/current-codebase-graph-orientation-20260308.md,174,graph algorithms,Current Codebase Graph Orientation - 2026-03-08,HIGH
archived-docs/Notes20260317.md,1137,code analysis,Parseltongue: Rust LLM Companion,MEDIUM
archived-docs/PRD-v300.md,1897,PRD,Parseltongue v3.0,HIGH
archived-docs/debates/2026-03-09-v200-compiler-truth-storage.md,124,architecture,Debate: Where should rich Rust compiler information live in Parseltongue v200?,HIGH
archived-docs/journey-of-parseltongue/how-cozodb-connects-relations.md,179,user journey,How CozoDB Connects Relations (ELI5),HIGH
archived-docs/journey-of-parseltongue/v160-v165-release-notes.md,166,user journey,Release Notes: v1.6.0 through v1.6.5,HIGH
archived-docs/parseltongue-code-graph-db/embedded_code_graph_db_thesis_20260309.md,572,thesis,Embedded Code Graph Database Thesis,HIGH
archived-docs/plans/2026-03-20-v300-executable-spec-v2.md,422,implementation plan,Executable Spec v2: Complete Parseltongue v300,HIGH
archived-docs/plans/2026-03-20-v300-executable-spec-v3.md,564,implementation plan,Executable Spec v3: Complete Parseltongue v300 — Iteration A,HIGH
archived-docs/plans/2026-03-21-architecture-truth-table.md,150,implementation plan,v300 Architecture Truth Table,HIGH
archived-docs/pre202602/ACTIVE-PRD/2026-03-02-code-understanding-domain-thesis-design.md,236,thesis,Code-Understanding Domain Thesis - Design Document,HIGH
archived-docs/pre202602/ACTIVE-PRD/2026-03-02-code-understanding-domain-thesis.md,766,thesis,Code-Understanding Domain Thesis,HIGH
archived-docs/pre202602/ACTIVE-PRD/2026-03-02-exhaustive-research-journal.md,973,research,EXHAUSTIVE Research Journal: Code-Understanding Domain Thesis,HIGH
archived-docs/pre202602/ACTIVE-PRD/2026-03-02-research-implementation-plan.md,1186,implementation plan,Code-Understanding Domain Thesis - Implementation Plan,HIGH
archived-docs/pre202602/ACTIVE-PRD/2026-03-02-research-journal.md,452,research,Research Journal: Code-Understanding Domain Thesis,HIGH
archived-docs/pre202602/ACTIVE-PRD/ES-V200-Decision-log-01.md,1067,decision log,v200-Decision-log-01,HIGH
archived-docs/pre202602/ACTIVE-PRD/Parseltongue-Journal-20260220.md,1122,code analysis,I am trying to build Parseltongue v2.0.0. PRD,HIGH
archived-docs/pre202602/ACTIVE-PRD/V200-context-query-converge-executable-spec.md,216,spec,V200 Context Query Converge - Executable Spec,HIGH
archived-docs/pre202602/ACTIVE-PRD/V216-PRD.md,91,PRD,V216 - PRD - Parseltongue reborn as a Rust LLM companion,HIGH
archived-docs/pre202602/ACTIVE-PRD/code-cluster-01-user-journey.md,239,user journey,Parseltongue: Replace Grep for Code,HIGH
archived-docs/pre202602/ACTIVE-PRD/code-cluster-01-workflow.md,328,workflow,Code Cluster 01 Workflow - The 5-Phase Graph-Based Query Flow,HIGH
archived-docs/pre202602/ACTIVE-PRD/parseltongue-compiler-endpoints-master.md,1649,API design,Parseltongue Compiler Endpoints — Master Reference,HIGH
archived-docs/pre202602/ACTIVE-PRD/research_mir_apis.md,1790,research,Rust Compiler MIR APIs: Control Flow & Data Flow Analysis Reference,HIGH
archived-docs/pre202602/ACTIVE-PRD/research_polonius_smir_plugin.md,829,research,"Rust Compiler Ecosystem Research: Polonius, Stable MIR, rustc_plugin, and Charon",HIGH
archived-docs/pre202602/ACTIVE-PRD/research_ra_ap_apis.md,1730,research,rust-analyzer `ra_ap_*` API Research,HIGH
archived-docs/pre202602/ACTIVE-PRD/research_rustc_internals.md,1594,research,rustc Internals Research: APIs for Building a Rich Code Graph,HIGH
archived-docs/pre202602/ACTIVE-Reference/06-LUCENE-ES-FOR-DATA-FLOW-ANALYSIS.md,531,CozoDB queries,Can Lucene/Elasticsearch Help with Data Flow/Control Flow Analysis?,HIGH
archived-docs/pre202602/ACTIVE-Reference/07-ARCHITECTURE-RUBBER-DUCK-DEBUG.md,522,architecture,Parseltongue Architecture Options: Rubber Duck Debug Session,HIGH
archived-docs/pre202602/ACTIVE-Reference/14-V216-SEMANTIC-CONTEXT-COMPRESSOR-THESIS.md,1057,thesis,Parseltongue v216: The Semantic Context Compressor Thesis,HIGH
archived-docs/pre202602/ACTIVE-Reference/15-API-STABILITY-VERIFICATION.md,330,verification,API Stability Verification: Claims vs Reality,HIGH
archived-docs/pre202602/ACTIVE-Reference/2026-03-02-code-understanding-domain-thesis-design.md,236,thesis,Code-Understanding Domain Thesis - Design Document,HIGH
archived-docs/pre202602/ACTIVE-Reference/2026-03-02-code-understanding-domain-thesis.md,766,thesis,Code-Understanding Domain Thesis,HIGH
archived-docs/pre202602/ACTIVE-Reference/2026-03-02-exhaustive-research-journal.md,973,research,EXHAUSTIVE Research Journal: Code-Understanding Domain Thesis,HIGH
archived-docs/pre202602/ACTIVE-Reference/2026-03-02-research-implementation-plan.md,1186,implementation plan,Code-Understanding Domain Thesis - Implementation Plan,HIGH
archived-docs/pre202602/ACTIVE-Reference/2026-03-02-research-journal.md,452,research,Research Journal: Code-Understanding Domain Thesis,HIGH
archived-docs/pre202602/ACTIVE-Reference/AR000-Else-Block.md,720,code analysis,GOVERNING THOUGHT,HIGH
